Host Id,Host Since,Name,Neighbourhood ,Property Type,Review Bins,Review Scores Rating (bin),Room Type,Zipcode,Beds,Number of Records,Number Of Reviews,Price,Review Scores Rating
2943864,2012-07-15 00:00:00,NYC gorgeous private room and bath,Brooklyn,House,M,90,Private room,11216,1,1,102,73,93
300325,2010-11-26 00:00:00,Loft Room Available in Flat Share,Brooklyn,Loft,J,75,Private room,11211,1,1,2,73,79
942252,2011-08-08 00:00:00,Cozy & Sunny Sage Room in Townhouse,Brooklyn,Townhouse,O,100,Private room,11238,1,1,6,73,100
4313868,2012-12-03 00:00:00,SWEET ROOM B- 15 MINUTES >MANHATTAN,Brooklyn,House,K,80,Private room,11206,2,1,65,73,82
33527075,2015-05-16 00:00:00,"Spacious, Peaceful Room",Queens,Apartment,O,100,Private room,11373,3,1,3,73,100
9453948,2013-10-15 00:00:00,Semi-Private Area/bed 82nd&Broadway,Manhattan,Apartment,N,95,Private room,10024,4,1,11,73,96
59028,2009-12-01 00:00:00,Modern Sunny Queer Friendly Loft,Brooklyn,Apartment,N,95,Private room,11206,1,1,40,72,97
65804,2009-12-26 00:00:00,Couch in Lux Apt Downtown Brooklyn,Brooklyn,Apartment,M,90,Shared room,11201,1,1,4,72,90
231950,2010-09-12 00:00:00,"BK Garden Oasis 2, Queen Bd L Train",Brooklyn,Apartment,N,95,Private room,11237,1,1,12,72,95
437619,2011-03-12 00:00:00,Lovely duplex with backyard,Brooklyn,Apartment,N,95,Private room,11238,1,1,5,72,96
647100,2011-05-31 00:00:00,Bohemian 1bd in Trendy Neighborhood,Brooklyn,Apartment,M,90,Private room,11238,1,1,14,72,92
682381,2011-06-09 00:00:00,Gigantic airy brownstone room,Brooklyn,Apartment,M,90,Private room,11216,1,1,7,72,94
697442,2011-06-13 00:00:00,Sunny+Cozy Double bedroom in BKLYN!,Brooklyn,Apartment,N,95,Private room,11226,1,1,107,72,95
713116,2011-06-17 00:00:00,Beautiful & Sunny in Clinton Hill,Brooklyn,Apartment,G,60,Private room,11205,1,1,1,72,60
918087,2011-08-03 00:00:00,Cozy and spacious - rare for NYC!,Brooklyn,Apartment,L,85,Private room,11216,1,1,34,72,88
1390555,2011-11-09 00:00:00,The Undiscovered Borough Awaits,Staten Island,Apartment,L,85,Private room,10304,1,1,32,72,87
1447684,2011-11-27 00:00:00,Beautiful lrg 1800's syle apt share,Brooklyn,Apartment,N,95,Private room,11222,1,1,7,72,97
2300343,2012-05-05 00:00:00,"Small Cozy Room, Ideal Location",Brooklyn,Apartment,N,95,Private room,11205,1,1,4,72,95
2494945,2012-05-29 00:00:00,Gorgeous Sanctuary in Brooklyn,Brooklyn,Apartment,L,85,Private room,11226,1,1,38,72,89
3113116,2012-07-31 00:00:00,Welcome to the (Greenpoint) Jungle!,Brooklyn,Apartment,M,90,Private room,11222,1,1,17,72,93
3832169,2015-05-09 00:00:00,Bedroom+Private Bathroom in UWS,Manhattan,Apartment,H,65,Private room,10025,1,1,3,72,67
3899071,2012-10-17 00:00:00,Cozy and Bright Room,Brooklyn,Apartment,M,90,Private room,11216,1,1,13,72,93
23309210,2014-11-03 00:00:00,"Beautiful & Cozy room, Worry free!!",Brooklyn,House,M,90,Private room,0,1,1,14,72,90
3997936,2012-10-28 00:00:00,Big room with a great view,Brooklyn,Apartment,K,80,Private room,11238,1,1,5,72,80
3997936,2012-10-28 00:00:00,Quiet room on the garden level,Brooklyn,Apartment,O,100,Private room,11238,1,1,1,72,100
4509849,2012-12-27 00:00:00,Comfortable Modern Room in Bed-Stuy,Brooklyn,Apartment,M,90,Private room,11221,1,1,52,72,91
6243156,2013-05-05 00:00:00,Tasteful Room in Charming 2BR,Manhattan,Apartment,N,95,Private room,10030,1,1,29,72,99
6470169,2013-05-19 00:00:00,NYC - BEAUTIFUL ROOM IN ASTORIA,Queens,Apartment,M,90,Private room,11101,1,1,36,72,90
7670501,2013-07-23 00:00:00,Charming private room & sunny deck!,Brooklyn,Apartment,M,90,Private room,11221,1,1,35,72,90
8235445,2013-08-18 00:00:00,Brooklyn Bohemia,Brooklyn,Apartment,O,100,Private room,11217,1,1,2,72,100
9910675,2013-11-09 00:00:00,Brand new sunny apartment!,Manhattan,Apartment,L,85,Private room,10040,1,1,27,72,86
9955233,2013-11-12 00:00:00,*entire apt* 20 min from midtown,Queens,Apartment,M,90,Entire home/apt,11104,1,1,3,72,90
10208524,2013-11-23 00:00:00,SUMMER NYC Beautiful 1 bedroom,Manhattan,Apartment,M,90,Private room,10040,1,1,7,72,94
10391523,2013-12-02 00:00:00,Large room avail in Astoria!,Queens,Apartment,L,85,Private room,11102,1,1,1,72,89
10963564,2014-01-02 00:00:00,INTERESTING NYC BUDGET CLEAN  SAFE,Brooklyn,Apartment,L,85,Private room,11206,1,1,2,72,89
10963564,2014-01-02 00:00:00,INTERESTING NYC BUDGET CLEAN  SAFE,Brooklyn,Apartment,N,95,Private room,11206,1,1,2,72,96
11827364,2014-01-31 00:00:00,Garden apt 15 mins from Manhattan,Queens,Apartment,L,85,Private room,11104,1,1,5,72,88
14496070,2014-04-20 00:00:00,Cozy room in historical Harlem,Manhattan,Apartment,K,80,Private room,10027,1,1,10,72,80
14766331,2014-04-26 00:00:00,Big Private Room in Williamsburg,Brooklyn,Apartment,N,95,Private room,11211,1,1,42,72,97
15262702,2014-05-08 00:00:00,"A Lovely, Comfortable Place Uptown!",Manhattan,Apartment,M,90,Private room,10027,1,1,6,72,93
19190670,2014-07-30 00:00:00,Cozy and Cute: A Room in Bed-Stuy,Brooklyn,Apartment,N,95,Private room,11206,1,1,8,72,98
21090508,2014-09-08 00:00:00,Private Bedroom in Brooklyn,Brooklyn,Apartment,N,95,Private room,11206,1,1,12,72,95
21651488,2014-09-22 00:00:00,Cozy and spacious in Manhattan!,Manhattan,Apartment,M,90,Private room,10034,1,1,8,72,91
27561111,2015-02-10 00:00:00,Stay in Trendy Williamsburg!,Brooklyn,Apartment,M,90,Private room,11206,1,1,6,72,90
30296819,2015-03-30 00:00:00,Intimate Greenpoint Hideaway w/Deck,Brooklyn,Apartment,N,95,Private room,11222,1,1,11,72,98
35391961,2015-06-09 00:00:00,You guys... My apt is Awesome!,Manhattan,Apartment,O,100,Private room,10033,1,1,7,72,100
41201538,2015-08-11 00:00:00,"Lofty Ceilings, Why Not Stay Here?",Brooklyn,Apartment,O,100,Private room,11237,1,1,2,72,100
12116974,2014-02-10 00:00:00,Great room in Irish neighborhood,Bronx,House,M,90,Private room,10704,1,1,57,72,94
13997794,2014-04-07 00:00:00,Calm Oasis 25 Minutes From The City,Queens,House,O,100,Private room,11375,1,1,2,72,100
1885944,2012-03-08 00:00:00,"Lovely loft in Brooklyn, New York!",Brooklyn,Loft,N,95,Private room,11206,1,1,22,72,98
231950,2010-09-12 00:00:00,"BK Garden Oasis 3, twin/full bunk!",Brooklyn,Apartment,N,95,Private room,11237,2,1,21,72,95
22578720,2014-10-15 00:00:00,Rustic Chic Living Room,Brooklyn,Apartment,N,95,Private room,11226,2,1,11,72,96
27192086,2015-02-04 00:00:00,Cozy Rm In BedSty Blks From A Train,Brooklyn,Apartment,M,90,Private room,11216,2,1,7,72,91
2419590,2012-05-20 00:00:00,MINI-SUITE Bushwick Artist's Loft,Brooklyn,Loft,M,90,Entire home/apt,11221,2,1,11,72,91
310458,2010-12-05 00:00:00,Small tidy bedroom in duplex,Brooklyn,Apartment,N,95,Private room,11215,1,1,5,71,95
1990602,2012-03-22 00:00:00,"Lovely, light-filled Bushwick flat",Brooklyn,Apartment,O,100,Private room,11237,1,1,1,71,100
3072504,2012-07-27 00:00:00,BEST Deal in HEART of NYC!!!,Queens,Apartment,M,90,Private room,11385,1,1,134,71,90
4432444,2012-12-18 00:00:00,Modern Apartment with King Bed!,Brooklyn,Apartment,N,95,Private room,11206,1,1,44,71,95
6525971,2013-05-22 00:00:00,Room In Renovated Apartment Sublet!,Brooklyn,Apartment,J,75,Private room,11216,1,1,4,71,75
7147978,2013-06-27 00:00:00,big sunny loft in bushwick,Brooklyn,Apartment,L,85,Private room,11237,1,1,9,71,87
9906135,2013-11-09 00:00:00,City Sanctuary!,Brooklyn,Apartment,O,100,Private room,11238,1,1,1,71,100
15183165,2014-05-06 00:00:00,Room in Beautiful Long Island City,Queens,Apartment,O,100,Private room,11101,1,1,3,71,100
15730873,2014-05-19 00:00:00,Huge Comfy & Creative Room,Manhattan,Apartment,K,80,Private room,10040,1,1,1,71,80
32702299,2015-05-05 00:00:00,Spacious New York City Bedroom/Apt.,Manhattan,Apartment,K,80,Private room,10033,1,1,2,71,80
34706197,2015-06-01 00:00:00,Artsy Loft in New Building by the L,Brooklyn,Apartment,L,85,Private room,11237,1,1,4,71,85
34911685,2015-06-03 00:00:00,Large clean quiet room. Double bed.,Manhattan,Apartment,O,100,Private room,10033,1,1,1,71,100
19597714,2014-08-06 00:00:00,"Studio Apt in charming Queens, NYC",Queens,House,K,80,Entire home/apt,11412,1,1,8,71,83
21860390,2014-09-28 00:00:00,"Huge Apartment Close To City 50"" TV",Brooklyn,Apartment,M,90,Private room,11221,2,1,35,71,94
32169,2009-08-17 00:00:00,Loft in Williamsburg Area w/ Roof,Brooklyn,Apartment,K,80,Private room,11222,1,1,127,70,81
32169,2009-08-17 00:00:00,Room in Greenpoint Loft w/ Roof,Brooklyn,Apartment,K,80,Private room,11222,1,1,88,70,83
32169,2009-08-17 00:00:00,Greenpoint Loft / Le Chez Andrea,Brooklyn,Apartment,L,85,Private room,11222,1,1,50,70,85
46978,2009-10-19 00:00:00,ENJOY Downtown NYC!,Manhattan,Apartment,L,85,Private room,10009,1,1,157,70,85
46978,2009-10-19 00:00:00,ENJOY Downtown NYC!!,Manhattan,Apartment,L,85,Private room,10009,1,1,102,70,88
70091,2010-01-12 00:00:00,Little King of Queens,Queens,Apartment,O,100,Private room,11377,1,1,22,70,100
78513,2010-02-07 00:00:00,Astoria 1 furnished bedroom,Queens,Apartment,O,100,Private room,11106,1,1,1,70,100
87494,2010-03-02 00:00:00,Private Bedroom in Renovated Apt,Manhattan,Apartment,O,100,Private room,10032,1,1,1,70,100
